,product_name,energy_100g,fat_100g,saturated-fat_100g,trans-fat_100g,cholesterol_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,calcium_100g,iron_100g,nutrition-score-fr_100g,nutrition-score-uk_100g
4880,100% tomato juice,22.451723811411036,0.0,0.0,0.0,0.0,1.12677145253246,0.5606801981972991,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
4881,"100% juice, tomato",24.110733835537836,0.0,0.0,0.0,0.0,1.12677145253246,0.5606801981972991,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
4882,100% vegetable juice,24.110733835537836,0.0,0.0,0.0,0.0,1.12677145253246,0.588230930818469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4883,100% vegetable juice,24.110733835537836,0.0,0.0,0.0,0.0,1.1830767331109342,0.521002818939498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4884,100% vegetable juice,24.110733835537836,0.0,0.0,0.0,0.0,1.12677145253246,0.4616250626651292,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0
4894,cut asparagus spears,20.915285161634436,0.0,0.0,0.0,0.0,0.7852585749557525,0.521002818939498,0.0,0.149510582306246,0.0,0.0,0.0,0.0,1.0,1.0
4895,cut wax beans,20.915285161634436,0.0,0.0,0.0,0.0,0.9840351650473652,0.3679882300248551,0.23007323912135494,0.0,0.0,0.0,0.0,0.0,1.0,1.0
4896,veri-green cut green beans,20.915285161634436,0.0,0.0,0.0,0.0,0.9840351650473652,0.3679882300248551,0.23007323912135494,0.0,0.0,0.0,0.0,0.0,1.0,1.0
4897,cut green beans,20.915285161634436,0.0,0.0,0.0,0.0,0.9840351650473652,0.3679882300248551,0.23007323912135494,0.0,0.0,0.0,0.0,0.0,1.0,1.0
4898,kitchen cut green beans,20.915285161634436,0.0,0.0,0.0,0.0,0.9840351650473652,0.3679882300248551,0.23007323912135494,0.0,0.0,0.0,0.0,0.0,1.0,1.0
4899,french style green beans,20.915285161634436,0.0,0.0,0.0,0.0,0.9840351650473652,0.3679882300248551,0.23007323912135494,0.0,0.0,0.0,0.0,0.0,1.0,1.0
4900,french style green beans,20.915285161634436,0.0,0.0,0.0,0.0,0.9840351650473652,0.3679882300248551,0.23007323912135494,0.0,0.0,0.0,0.0,0.0,1.0,1.0
4903,whole green beans,20.915285161634436,0.0,0.0,0.0,0.0,0.9840351650473652,0.3679882300248551,0.23007323912135494,0.0,0.0,0.0,0.0,0.0,1.0,1.0
4925,stems & pieces mushroom,16.526307196694944,0.0,0.0,0.0,0.0,1.0773745118329554,0.0,0.2547431583999722,0.14560133629176147,0.0,0.0,0.0,0.0,-1.0,-1.0
5005,shredded sauerkraut,20.915285161634436,0.0,0.0,0.0,0.0,0.9840351650473652,0.588230930818469,0.2634202349280369,0.0,0.2619260154968711,0.0,0.0,0.0,2.0,2.0
5006,shredded sauerkraut,20.915285161634436,0.0,0.0,0.0,0.0,0.9840351650473652,0.588230930818469,0.2634202349280369,0.0,0.2619260154968711,0.0,0.0,0.0,2.0,2.0
5009,whole peeled tomatoes,24.110733835537836,0.0,0.0,0.0,0.0,1.1208804219517077,0.5187111124174709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5010,diced tomatoes with habanero peppers,24.110733835537836,0.0,0.0,0.0,0.0,1.1208804219517077,0.5187111124174709,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
5011,diced tomatoes with green chilies,24.110733835537836,0.0,0.0,0.0,0.0,1.1208804219517077,0.5187111124174709,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
5012,diced tomatoes,24.110733835537836,0.0,0.0,0.0,0.0,1.1208804219517077,0.5187111124174709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5013,diced tomatoes,24.110733835537836,0.0,0.0,0.0,0.0,1.1208804219517077,0.5187111124174709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
